r(1st stage) = 7014.279, v=8.347 time=0.0
r(1st stage) = 7026.574, v=8.335 time=2.149580462286223e-05
r(1st stage) = 7038.864, v=8.323 time=4.299160924572446e-05
r(1st stage) = 7051.151, v=8.311 time=6.44874138685867e-05
r(1st stage) = 7063.434, v=8.299 time=8.598321849144893e-05
r(1st stage) = 7075.713, v=8.287 time=0.00010747902311431116
r(1st stage) = 7087.987, v=8.276 time=0.0001289748277371734
r(1st stage) = 7100.257, v=8.264 time=0.00015047063236003563
r(1st stage) = 7112.521, v=8.252 time=0.00017196643698289785
r(1st stage) = 7124.781, v=8.240 time=0.00019346224160576007
r(1st stage) = 7137.036, v=8.229 time=0.00021495804622862231
r(1st stage) = 7149.285, v=8.217 time=0.00023645385085148456
r(1st stage) = 7161.529, v=8.206 time=0.0002579496554743468
r(1st stage) = 7173.766, v=8.194 time=0.000279445460097209
r(1st stage) = 7185.998, v=8.182 time=0.00030094126472007127
r(1st stage) = 7198.224, v=8.171 time=0.0003224370693429335
r(1st stage) = 7210.444, v=8.159 time=0.0003439328739657957
r(1st stage) = 7222.657, v=8.148 time=0.0003654286785886579
r(1st stage) = 7234.864, v=8.137 time=0.00038692448321152014
r(1st stage) = 7247.064, v=8.125 time=0.0004084202878343824
r(1st stage) = 7259.257, v=8.114 time=0.00042991609245724463
r(1st stage) = 7271.442, v=8.102 time=0.00045141189708010685
r(1st stage) = 7283.621, v=8.091 time=0.0004729077017029691
r(1st stage) = 7295.792, v=8.080 time=0.0004944035063258313
r(1st stage) = 7307.956, v=8.069 time=0.0005158993109486936
r(1st stage) = 7320.111, v=8.057 time=0.0005373951155715558
r(1st stage) = 7332.259, v=8.046 time=0.000558890920194418
r(1st stage) = 7344.399, v=8.035 time=0.0005803867248172802
r(1st stage) = 7356.530, v=8.024 time=0.0006018825294401425
r(1st stage) = 7368.654, v=8.013 time=0.0006233783340630048
r(1st stage) = 7380.768, v=8.002 time=0.000644874138685867
r(1st stage) = 7392.874, v=7.990 time=0.0006663699433087292
r(1st stage) = 7404.971, v=7.979 time=0.0006878657479315914
r(1st stage) = 7417.060, v=7.968 time=0.0007093615525544536
r(1st stage) = 7429.139, v=7.957 time=0.0007308573571773158
r(1st stage) = 7441.209, v=7.947 time=0.0007523531618001781
r(1st stage) = 7453.269, v=7.936 time=0.0007738489664230403
r(1st stage) = 7465.320, v=7.925 time=0.0007953447710459026
r(1st stage) = 7477.361, v=7.914 time=0.0008168405756687648
r(1st stage) = 7489.393, v=7.903 time=0.000838336380291627
r(1st stage) = 7501.414, v=7.892 time=0.0008598321849144893
r(1st stage) = 7513.426, v=7.881 time=0.0008813279895373515
r(1st stage) = 7525.427, v=7.871 time=0.0009028237941602137
r(1st stage) = 7537.418, v=7.860 time=0.0009243195987830759
r(1st stage) = 7549.399, v=7.849 time=0.0009458154034059382
r(1st stage) = 7561.369, v=7.839 time=0.0009673112080288005
r(1st stage) = 7573.328, v=7.828 time=0.0009888070126516627
r(1st stage) = 7585.276, v=7.817 time=0.0010103028172745248
r(1st stage) = 7597.214, v=7.807 time=0.001031798621897387
r(1st stage) = 7609.140, v=7.796 time=0.0010532944265202494
r(1st stage) = 7621.056, v=7.786 time=0.0010747902311431115
r(1st stage) = 7632.959, v=7.775 time=0.0010962860357659739
r(1st stage) = 7644.852, v=7.765 time=0.001117781840388836
r(1st stage) = 7656.733, v=7.754 time=0.0011392776450116983
r(1st stage) = 7668.602, v=7.744 time=0.0011607734496345604
r(1st stage) = 7680.460, v=7.734 time=0.0011822692542574227
